dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.051000000000000004,18,0.00014175907258064517,-212.14261757719163,-208.42482237810742,False
0.052000000000000005,17,0.00013388356854838709,-212.12065753043416,-205.64551585452654,False
0.053,21,0.00016538558467741934,-209.910680462947,-208.02866040003462,False
0.054,20,0.00015751008064516129,-211.5576479895319,-207.60462071801652,False
0.055,16,0.00012600806451612903,-211.30924148000187,-209.12288452933228,False
0.056,15,0.00011813256048387097,-211.6033691738101,-208.677469236234,False
0.057,18,0.00014175907258064517,-211.14394980158806,-207.75004561435264,False
0.058,18,0.00014175907258064517,-212.27953337286687,-206.57549760405388,False
0.059000000000000004,16,0.00012600806451612903,-213.11649466845813,-209.89095381207898,False
0.06,20,0.00015751008064516129,-212.6276596405504,-207.3203849305622,False
0.061,16,0.00012600806451612903,-210.46023162911393,-206.7806390276915,False
0.062,18,0.00014175907258064517,-213.17966138673432,-207.193412541497,False
0.063,20,0.00015751008064516129,-208.73280460471847,-207.38720638899892,False
0.064,12,9.450604838709677e-05,-214.3861083146274,-207.59900399416858,False
0.065,10,7.875504032258064e-05,-211.15915814074768,-207.36269382065734,False
0.066,22,0.00017326108870967743,-208.81459713834604,-206.47655896198972,False
0.067,12,9.450604838709677e-05,-212.53199648924468,-205.20271115684946,False
0.068,8,6.300403225806451e-05,-213.95017701181357,-207.74178562300068,False
0.069,21,0.00016538558467741934,-211.5342882985746,-208.9328603860418,False
0.07,16,0.00012600806451612903,-211.66333014137143,-207.88311859918383,False
0.07100000000000001,11,8.663054435483871e-05,-211.7869772892871,-206.73764166370097,False
0.07200000000000001,11,8.663054435483871e-05,-212.5565198399139,-209.119955280974,False
0.073,14,0.0001102570564516129,-213.51488026817265,-208.78236646269,False
0.074,22,0.00017326108870967743,-211.60326395692036,-205.71049007933527,False
0.075,17,0.00013388356854838709,-214.64810907938886,-209.94231838314744,False
0.076,22,0.00017326108870967743,-207.4682991322696,-204.04771705874384,False
0.077,19,0.00014963457661290323,-212.26647615564076,-208.42296108234135,False
0.078,21,0.00016538558467741934,-209.65895536790342,-205.09256739660148,False
0.079,19,0.00014963457661290323,-206.32555750938292,-207.80910267300925,False
0.08,14,0.0001102570564516129,-211.36603837124565,-206.44492138058953,False
0.081,14,0.0001102570564516129,-210.65114489226812,-207.81940049492914,False
0.082,19,0.00014963457661290323,-212.33324904787648,-207.32949327788367,False
0.083,14,0.0001102570564516129,-213.85005716076466,-207.811163169643,False
0.084,14,0.0001102570564516129,-210.6310582543148,-208.12487584089197,False
0.085,17,0.00013388356854838709,-213.01319612119573,-208.97665704653232,False
0.08600000000000001,14,0.0001102570564516129,-214.0417246591741,-207.20691282023566,False
