dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.085,1,7.875504032258064e-06,-33.45297351641047,-153.7566641734026,False
0.08600000000000001,1,7.875504032258064e-06,-33.351640658294656,-153.6560722551107,False
0.08700000000000001,1,7.875504032258064e-06,-33.251476368905045,-153.55722352528795,False
0.088,1,7.875504032258064e-06,-33.15245400212116,-153.45953021011408,False
0.089,1,7.875504032258064e-06,-33.05454781427749,-153.3578607665368,False
0.09,1,7.875504032258064e-06,-32.957732921694074,-153.26200840140692,False
0.091,1,7.875504032258064e-06,-32.86198526469309,-153.1662732108277,False
0.092,1,7.875504032258064e-06,-32.76728157181524,-153.07164772625708,False
0.093,1,7.875504032258064e-06,-32.67359932120309,-152.9799751576428,False
0.094,1,7.875504032258064e-06,-32.58091671605749,-152.88561992949494,False
0.095,1,7.875504032258064e-06,-32.48921264536828,-152.79595945444032,False
0.096,1,7.875504032258064e-06,-32.39846666480597,-152.7046003587373,False
0.097,1,7.875504032258064e-06,-32.30865895810921,-152.61512358318467,False
0.098,1,7.875504032258064e-06,-32.21977032345666,-152.52324198957507,False
0.099,1,7.875504032258064e-06,-32.13178213979421,-152.43491351309308,False
0.1,1,7.875504032258064e-06,-32.04090888381409,-152.34592064733664,False
0.101,1,7.875504032258064e-06,-31.95470517214254,-152.25950695627336,False
0.10200000000000001,1,7.875504032258064e-06,-31.869348595316485,-152.17322564093192,False
0.10300000000000001,1,7.875504032258064e-06,-31.784822663668336,-152.08862513857375,False
0.10400000000000001,1,7.875504032258064e-06,-31.70111136694768,-152.00564121204832,False
0.105,1,7.875504032258064e-06,-31.618199153645286,-151.92201372148673,False
0.106,1,7.875504032258064e-06,-31.536070911427995,-151.84284420991847,False
0.107,1,7.875504032258064e-06,-31.454711952899924,-151.75943999807066,False
0.108,1,7.875504032258064e-06,-31.37410800130656,-151.67760739034262,False
0.109,1,7.875504032258064e-06,-31.294245171214374,-151.59796848488142,False
0.11,1,7.875504032258064e-06,-31.215109957458136,-151.51976370187958,False
0.111,1,7.875504032258064e-06,-31.136689225710636,-151.4416296400698,False
0.112,1,7.875504032258064e-06,-31.05897018374864,-151.36294270459112,False
0.113,1,7.875504032258064e-06,-30.981940390015993,-151.28565611124063,False
0.114,1,7.875504032258064e-06,-30.905587724922896,-151.20909882352657,False
