dc_fs,peak_bin,peak_f_norm,peak_dbfs,noise_dbfs,saturated
0.076,1,7.875504032258064e-06,-34.35316683193493,-60.4575732236254,False
0.077,1,7.875504032258064e-06,-34.240600656525494,-60.45774508669168,False
0.078,1,7.875504032258064e-06,-34.12937383210517,-60.45754512229592,False
0.079,1,7.875504032258064e-06,-34.01956655572006,-60.457617584985485,False
0.08,1,7.875504032258064e-06,-33.91122277437513,-60.45775542294287,False
0.081,1,7.875504032258064e-06,-33.8041138472883,-60.458048070121855,False
0.082,1,7.875504032258064e-06,-33.69841125885863,-60.45791760937371,False
0.083,1,7.875504032258064e-06,-33.593880617543974,-60.45776595240943,False
0.084,1,7.875504032258064e-06,-33.49069874952625,-60.45769554404475,False
0.085,1,7.875504032258064e-06,-33.388623044358226,-60.45777456746453,False
0.08600000000000001,1,7.875504032258064e-06,-33.28774051740301,-60.457936062513326,False
0.08700000000000001,1,7.875504032258064e-06,-33.18810237277922,-60.45793274343305,False
0.088,1,7.875504032258064e-06,-33.08949508559263,-60.45786067086734,False
0.089,1,7.875504032258064e-06,-32.992102337258856,-60.457810646041146,False
0.09,1,7.875504032258064e-06,-32.89569472345282,-60.457616969127,False
0.091,1,7.875504032258064e-06,-32.800429798604206,-60.457516458615224,False
0.092,1,7.875504032258064e-06,-32.70610525954473,-60.45748826179221,False
0.093,1,7.875504032258064e-06,-32.612788968046814,-60.45779968493454,False
0.094,1,7.875504032258064e-06,-32.52055601051218,-60.45768759626931,False
0.095,1,7.875504032258064e-06,-32.4292110460525,-60.45757502323059,False
0.096,1,7.875504032258064e-06,-32.33890496675647,-60.45763913316651,False
0.097,1,7.875504032258064e-06,-32.24943571843274,-60.45786657839571,False
0.098,1,7.875504032258064e-06,-32.16096976548926,-60.458027411881915,False
0.099,1,7.875504032258064e-06,-32.07330873559236,-60.45775848133685,False
0.1,1,7.875504032258064e-06,-31.986530333676704,-60.457618945673126,False
0.101,1,7.875504032258064e-06,-31.90069430694529,-60.45771049025656,False
0.10200000000000001,1,7.875504032258064e-06,-31.81561371032853,-60.457760468079734,False
0.10300000000000001,1,7.875504032258064e-06,-31.731436463700064,-60.45792040686046,False
0.10400000000000001,1,7.875504032258064e-06,-31.64798053918436,-60.45795971052358,False
0.105,1,7.875504032258064e-06,-31.565402265210004,-60.45791532148095,False
0.106,1,7.875504032258064e-06,-31.483532455074904,-60.457844901361575,False
0.107,1,7.875504032258064e-06,-31.402425488070037,-60.45773883877946,False
0.108,1,7.875504032258064e-06,-31.322134622977238,-60.457580407027436,False
0.109,1,7.875504032258064e-06,-31.242504173481514,-60.45746380239321,False
0.11,1,7.875504032258064e-06,-31.163668567425667,-60.45780967263138,False
0.111,1,7.875504032258064e-06,-31.085467862937804,-60.4577313601101,False
0.112,1,7.875504032258064e-06,-31.007979256608536,-60.45763477381253,False
0.113,1,7.875504032258064e-06,-30.93123910225403,-60.45769996932805,False
0.114,1,7.875504032258064e-06,-30.85509858810155,-60.45794540454529,False
0.115,1,7.875504032258064e-06,-30.779696879531503,-60.45800520556868,False
0.116,1,7.875504032258064e-06,-30.70486781535839,-60.457741773976124,False
0.117,1,7.875504032258064e-06,-30.630753666681095,-60.45764100879484,False
0.11800000000000001,1,7.875504032258064e-06,-30.557198002210914,-60.457796568658885,False
0.11900000000000001,1,7.875504032258064e-06,-30.48426023001374,-60.457944989765934,False
0.12,1,7.875504032258064e-06,-30.41199364756904,-60.457935335629564,False
0.121,1,7.875504032258064e-06,-30.340252782895888,-60.457952058689806,False
0.122,1,7.875504032258064e-06,-30.26917495271993,-60.457895392366666,False
0.123,1,7.875504032258064e-06,-30.198608219408097,-60.45758759179064,False
0.124,1,7.875504032258064e-06,-30.128672057819305,-60.45771963467281,False
0.125,1,7.875504032258064e-06,-30.059219953077818,-60.457704356703445,False
0.126,1,7.875504032258064e-06,-29.99032107234426,-60.457587536176845,False
0.127,1,7.875504032258064e-06,-29.92202821012617,-60.45778672745551,False
0.128,1,7.875504032258064e-06,-29.85420890592172,-60.457523630243486,False
0.129,1,7.875504032258064e-06,-29.7869858657996,-60.45763491878017,False
0.13,1,7.875504032258064e-06,-29.72020481211739,-60.457818660014446,False
0.131,1,7.875504032258064e-06,-29.654001580209272,-60.45795243551707,False
0.132,1,7.875504032258064e-06,-29.588233585401586,-60.457951929139426,False
0.133,1,7.875504032258064e-06,-29.522965210312442,-60.4577556106372,False
0.134,1,7.875504032258064e-06,-29.45824841063309,-60.45768861178984,False
0.135,1,7.875504032258064e-06,-29.393942899557256,-60.45780088948244,False
0.136,1,7.875504032258064e-06,-29.330172344923056,-60.45790641090814,False
0.137,1,7.875504032258064e-06,-29.26680473347436,-60.457987390337145,False
0.138,1,7.875504032258064e-06,-29.203953098845336,-60.45795365463945,False
0.139,1,7.875504032258064e-06,-29.141500858469016,-60.45782186779513,False
0.14,1,7.875504032258064e-06,-29.079494864511773,-60.45769811080526,False
0.14100000000000001,1,7.875504032258064e-06,-29.017980899651697,-60.45749186297432,False
0.14200000000000002,1,7.875504032258064e-06,-28.95683829204192,-60.45752683178243,False
0.14300000000000002,1,7.875504032258064e-06,-28.89618177851534,-60.45760053743493,False
0.14400000000000002,1,7.875504032258064e-06,-28.83588507045023,-60.457682158024184,False
0.145,1,7.875504032258064e-06,-28.776011936883673,-60.457577817308135,False
0.146,1,7.875504032258064e-06,-28.716606015374936,-60.457627631342646,False
0.147,1,7.875504032258064e-06,-28.6575421498805,-60.45786197864746,False
0.148,1,7.875504032258064e-06,-28.598938121202945,-60.458001820343185,False
0.149,1,7.875504032258064e-06,-28.540667869802707,-60.45778451216039,False
0.15,1,7.875504032258064e-06,-28.482846494478306,-60.457677350314015,False
0.151,1,7.875504032258064e-06,-28.425353902814606,-60.45771067956772,False
0.152,1,7.875504032258064e-06,-28.368236259732285,-60.457749731533625,False
0.153,1,7.875504032258064e-06,-28.31154479872078,-60.45794568662521,False
0.154,1,7.875504032258064e-06,-28.255163741296222,-60.45791503858207,False
0.155,1,7.875504032258064e-06,-28.199202635475594,-60.45796742836618,False
0.156,1,7.875504032258064e-06,-28.143551449590536,-60.45782705286415,False
0.157,1,7.875504032258064e-06,-28.08830429134997,-60.45768598746942,False
0.158,1,7.875504032258064e-06,-28.03335065411181,-60.457601734969245,False
0.159,1,7.875504032258064e-06,-27.978741393107512,-60.45751346335564,False
0.16,1,7.875504032258064e-06,-27.924521506452162,-60.45781718358268,False
0.161,1,7.875504032258064e-06,-27.87058856557913,-60.45762655745652,False
0.162,1,7.875504032258064e-06,-27.817046540997623,-60.45758191171686,False
0.163,1,7.875504032258064e-06,-27.763777730275496,-60.45765660814056,False
0.164,1,7.875504032258064e-06,-27.710883206354275,-60.45786721822385,False
0.165,1,7.875504032258064e-06,-27.658264236715787,-60.457983569529425,False
0.166,1,7.875504032258064e-06,-27.605954549911893,-60.45778711603483,False
0.167,1,7.875504032258064e-06,-27.554016714250857,-60.45769761401815,False
0.168,1,7.875504032258064e-06,-27.502334223117035,-60.457777651485,False
0.169,1,7.875504032258064e-06,-27.45100880808142,-60.45778059909846,False
0.17,1,7.875504032258064e-06,-27.399932072632826,-60.45799631370692,False
0.171,1,7.875504032258064e-06,-27.349200373949387,-60.4579684951307,False
0.17200000000000001,1,7.875504032258064e-06,-27.29872321713716,-60.45790136597792,False
0.17300000000000001,1,7.875504032258064e-06,-27.248536324561258,-60.45758054373536,False
0.17400000000000002,1,7.875504032258064e-06,-27.19868065620131,-60.4577078741774,False
0.17500000000000002,1,7.875504032258064e-06,-27.149058049107712,-60.45761487070247,False
0.176,1,7.875504032258064e-06,-27.099768436987652,-60.45750750706758,False
0.177,1,7.875504032258064e-06,-27.050704257044814,-60.45777355890085,False
0.178,1,7.875504032258064e-06,-27.00192176793953,-60.45751899842529,False
0.179,1,7.875504032258064e-06,-26.95346165973653,-60.457605589345526,False
0.18,1,7.875504032258064e-06,-26.90521739363509,-60.457911573731295,False
0.181,1,7.875504032258064e-06,-26.85729040388192,-60.45797479840266,False
0.182,1,7.875504032258064e-06,-26.809578767103346,-60.45787291526253,False
0.183,1,7.875504032258064e-06,-26.762172579592747,-60.457806047851136,False
0.184,1,7.875504032258064e-06,-26.71498742396487,-60.457696139857404,False
0.185,1,7.875504032258064e-06,-26.668051025167898,-60.457835481775234,False
0.186,1,7.875504032258064e-06,-26.621410934323848,-60.45791001385283,False
0.187,1,7.875504032258064e-06,-26.574975109205234,-60.45802412572626,False
0.188,1,7.875504032258064e-06,-26.528827378039857,-60.458013013527605,False
0.189,1,7.875504032258064e-06,-26.482885083138882,-60.457833035037424,False
0.19,1,7.875504032258064e-06,-26.43723192872338,-60.457582291947745,False
0.191,1,7.875504032258064e-06,-26.391765624915955,-60.45747840822547,False
0.192,1,7.875504032258064e-06,-26.3465340900439,-60.45750039228663,False
0.193,1,7.875504032258064e-06,-26.301582143452148,-60.457672182001616,False
0.194,1,7.875504032258064e-06,-26.2568146892928,-60.457772008190375,False
0.195,1,7.875504032258064e-06,-26.212327240169913,-60.4575406791195,False
0.196,1,7.875504032258064e-06,-26.168023589511126,-60.45760611201976,False
0.197,1,7.875504032258064e-06,-26.123982694464686,-60.45788196635324,False
0.198,1,7.875504032258064e-06,-26.08012494102749,-60.45795988142643,False
0.199,1,7.875504032258064e-06,-26.036487345182525,-60.45780798800464,False
0.2,1,7.875504032258064e-06,-25.993111729577837,-60.45774513300941,False
0.201,1,7.875504032258064e-06,-25.94991072206415,-60.45774736930147,False
0.202,1,7.875504032258064e-06,-25.90696335118999,-60.45782226789137,False
0.203,1,7.875504032258064e-06,-25.86418630666553,-60.457960197267504,False
0.20400000000000001,1,7.875504032258064e-06,-25.821615007559174,-60.45797445867615,False
0.20500000000000002,1,7.875504032258064e-06,-25.77929600977179,-60.45797323230854,False
0.20600000000000002,1,7.875504032258064e-06,-25.737143692189047,-60.457808195329434,False
0.20700000000000002,1,7.875504032258064e-06,-25.695233568506662,-60.45770426631911,False
0.20800000000000002,1,7.875504032258064e-06,-25.65348088035411,-60.45766371679136,False
0.209,1,7.875504032258064e-06,-25.611967848270453,-60.45747937282041,False
0.21,1,7.875504032258064e-06,-25.57060958797426,-60.45787948008629,False
0.211,1,7.875504032258064e-06,-25.529449756861112,-60.45766017897381,False
0.212,1,7.875504032258064e-06,-25.488529014164165,-60.45761830392117,False
0.213,1,7.875504032258064e-06,-25.4477570877103,-60.45771873471644,False
0.214,1,7.875504032258064e-06,-25.407214144889466,-60.457857794820896,False
0.215,1,7.875504032258064e-06,-25.366823491022465,-60.45800849811754,False
0.216,1,7.875504032258064e-06,-25.32665584376978,-60.457773866989115,False
0.217,1,7.875504032258064e-06,-25.286638168195704,-60.45778142287893,False
0.218,1,7.875504032258064e-06,-25.246802795020713,-60.457749632976984,False
0.219,1,7.875504032258064e-06,-25.207188967224962,-60.45773637913485,False
0.22,1,7.875504032258064e-06,-25.16771351863857,-60.45797393248335,False
0.221,1,7.875504032258064e-06,-25.1284537325783,-60.45797519342824,False
0.222,1,7.875504032258064e-06,-25.089338191626254,-60.45782705645861,False
0.223,1,7.875504032258064e-06,-25.05043203355608,-60.457771790585284,False
0.224,1,7.875504032258064e-06,-25.011663651619074,-60.457698704647385,False
0.225,1,7.875504032258064e-06,-24.973063418467554,-60.45761999945341,False
0.226,1,7.875504032258064e-06,-24.93467155377806,-60.457558189441514,False
0.227,1,7.875504032258064e-06,-24.89640922457052,-60.45783912927335,False
0.228,1,7.875504032258064e-06,-24.85835253133046,-60.457665289240516,False
0.229,1,7.875504032258064e-06,-24.820432443154417,-60.45757903594029,False
0.23,1,7.875504032258064e-06,-24.782707584987897,-60.45775936549235,False
0.231,1,7.875504032258064e-06,-24.74511203977062,-60.45801686342166,False
0.232,1,7.875504032258064e-06,-24.707676955643272,-60.45779484948773,False
0.233,1,7.875504032258064e-06,-24.67043942021445,-60.45775138692895,False
0.234,1,7.875504032258064e-06,-24.63333087897113,-60.457725219667836,False
0.23500000000000001,1,7.875504032258064e-06,-24.596408643268823,-60.45774310317796,False
0.23600000000000002,1,7.875504032258064e-06,-24.559611129142077,-60.45797607565163,False
0.23700000000000002,1,7.875504032258064e-06,-24.522966419533248,-60.458003872893975,False
0.23800000000000002,1,7.875504032258064e-06,-24.48650892183184,-60.457943690850946,False
0.23900000000000002,1,7.875504032258064e-06,-24.450173078825735,-60.45775192405483,False
0.24,1,7.875504032258064e-06,-24.414024734809487,-60.45770592673654,False
0.241,1,7.875504032258064e-06,-24.377986728487606,-60.45749601137284,False
0.242,1,7.875504032258064e-06,-24.342131058920376,-60.45759611106533,False
0.243,1,7.875504032258064e-06,-24.306387960884358,-60.45769660163836,False
0.244,1,7.875504032258064e-06,-24.270790759442,-60.457761892808065,False
0.245,1,7.875504032258064e-06,-24.23537729019695,-60.45755022370351,False
0.246,1,7.875504032258064e-06,-24.20007310890054,-60.4576616968528,False
0.247,1,7.875504032258064e-06,-24.164943681075975,-60.45790941203513,False
0.248,1,7.875504032258064e-06,-24.129923739447317,-60.457921305964966,False
0.249,1,7.875504032258064e-06,-24.095077130746265,-60.45773680558312,False
